,latitude,longitude,temperature,humidity,cloudiness,wind
79,-15,121,573.8199999999999,63,10,19408.68864
80,-74,77,505.99,76,100,65120.495616
81,-7,-133,571.3199999999999,77,0,53359.409664000006
82,3,74,574.3199999999999,79,100,29489.619455999997
83,-28,99,561.52,61,84,38469.758976
84,-46,-4,548.92,80,100,69929.215488
85,-78,-161,515.74,87,100,7705.5390720000005
86,-18,-75,561.12,78,0,19119.006719999998
87,28,-68,574.02,68,3,8864.266752
88,35,-57,572.62,81,0,43857.842688
89,-66,-5,538.3199999999999,97,96,34935.639552
90,6,141,575.72,66,0,12514.258944000001
91,-17,-168,572.62,77,69,22305.50784
92,-28,-8,565.12,75,31,8980.13952
93,-69,148,513.66,74,0,45537.997824
94,22,22,583.19,9,0,31575.32928
95,16,-130,572.52,73,100,27577.718783999997
96,-62,0,534.02,93,0,17033.296896
97,-20,37,570.8199999999999,74,0,16280.123904
98,-40,-54,553.8199999999999,64,8,93277.57824
99,9,-141,572.92,79,64,21784.080383999997
100,50,109,554.2,82,98,8053.157375999999
101,-83,-23,510.34,78,0,43336.415232
102,-83,-65,517.13,77,0,23174.5536
103,37,75,544.42,81,0,19234.879488
104,-74,115,491.43999999999994,34,50,25318.199808
105,59,-115,555.37,67,0,12050.767872
106,75,-103,542.62,96,100,23232.489984
107,-20,40,571.3199999999999,73,4,16975.360512
108,-52,9,546.62,92,100,24970.581503999998
109,-84,-15,506.14,78,0,49883.226623999995
110,-86,33,497.13,63,100,36789.603839999996
111,-4,-137,571.62,77,100,56951.465471999996
112,-6,-146,572.3199999999999,75,25,44437.206527999995
113,58,-73,549.05,78,100,32849.929727999996
114,35,-45,570.02,64,0,28794.382847999997
115,-60,132,542.62,95,100,60022.093823999996
116,-2,162,574.22,66,0,26071.372799999997
117,-80,16,505.95,80,100,45595.934208
118,-39,-76,555.72,76,0,65352.241151999995
119,46,-57,559.52,85,100,48956.244479999994
120,-63,-65,538.12,95,98,42525.305856
121,50,133,552.7,100,100,3418.246656
122,32,112,565.88,63,96,10428.54912
123,-65,16,535.42,94,81,52837.982207999994
124,57,-73,548.99,78,34,24159.472127999998
125,-34,-12,563.12,92,100,42467.369472
